fecha,producto,peso,precio
2025-09-25 10:54:13.413000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-26 10:54:21.236000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-27 10:54:11.730000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-28 10:54:11.997000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-29 10:54:14.825000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-09-30 10:54:14.828000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-01 10:54:23.616000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-02 10:54:12.803000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-03 10:54:12.206000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-04 10:54:12.206000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-05 10:54:13.494000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-06 10:54:14.320000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-07 10:54:13.347000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-08 10:54:13.366000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-09 10:54:13.549000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-10 10:54:13.174000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-11 10:54:12.585000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-12 10:54:12.769000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-13 10:54:12.462000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-14 10:54:12.716000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-15 10:54:13.233000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-16 10:54:12.739000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-17 11:00:13.821000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-20 11:00:17.191000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-21 11:00:12.892000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-22 11:00:12.261000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-10-23 11:00:16.538000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-24 11:00:15.399000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-25 11:00:16.245000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-26 11:00:14.860000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-27 11:00:16.406000,EVOWHEY PROTEIN,2Kg,"31,99€"
2025-10-28 18:38:06.747000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-28 18:45:43.584000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-28 18:54:13.253000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-10-28 18:58:15.769419,EVOWHEY PROTEIN,2Kg,"37,90€"
